id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q332314,Michael Heseltine,1974-03-11,1976-11-19,,Q332691,,
Q332691,John Biffen,1976-11-19,1979-05-04,Q332314,Q334327,,
Q334327,Eric Varley,1979-05-04,1979-07-14,Q332691,Q6257849,,
Q6257849,John Silkin,1979-07-14,1980-11-04,Q334327,Q16294802,,
Q16294802,"Stanley Orme, Baron Orme",1980-11-04,1983-10-31,Q6257849,Q332377,,
Q332377,John Smith (Labour Party leader),1979-05-04,1982-11-24,Q16294802,Q1617771,,
Q1617771,"Peter Archer, Baron Archer of Sandwell",1982-11-24,1983-10-31,Q332377,Q7176922,,
Q7176922,Peter Shore,1983-10-31,1984-10-26,Q1617771,Q332377,,
Q332377,John Smith (Labour Party leader),1984-10-26,1987-07-13,Q7176922,Q4980126,,
Q4980126,Bryan Gould,1987-07-13,1989-11-02,Q332377,Q10648,,
Q10648,Gordon Brown,1989-11-02,1992-07-18,Q4980126,Q311214,,
Q311214,Robin Cook,1992-07-18,1994-10-20,Q10648,Q336214,,
Q336214,"Jack Cunningham, Baron Cunningham of Felling",1994-10-20,1995-10-19,Q311214,Q232639,,
Q232639,Margaret Beckett,1995-10-19,1997-05-02,Q336214,Q332314,,
Q332314,Michael Heseltine,1997-05-02,1997-06-11,Q232639,Q333846,,
Q333846,John Redwood,1997-06-11,1999-06-15,Q332314,Q532347,,
Q532347,Angela Browning,1999-06-15,2000-09-26,Q333846,Q333039,,
Q333039,David Heathcoat-Amory,2000-09-26,2001-09-18,Q532347,Q264684,,
Q264684,John Whittingdale,2001-09-18,2002-07-23,Q333039,Q259961,,
Q259961,Tim Yeo,2002-07-23,2003-11-11,Q264684,Q266064,,
Q266064,David Willetts,2005-05-06,2005-12-08,Q259961,Q302417,,
Q302417,Alan Duncan,2005-12-08,2007-07-02,Q266064,Q302417,,
Q302417,Alan Duncan,2007-07-02,2009-01-19,Q302417,Q271889,,
Q271889,Kenneth Clarke,2009-01-19,2010-05-11,Q302417,Q694676,,
Q694676,Pat McFadden,2010-05-11,2010-10-08,Q271889,Q300069,,
Q300069,John Denham (politician),2010-10-08,2011-10-07,Q694676,Q267648,,
Q267648,Chuka Umunna,2011-10-07,2015-09-13,Q300069,Q302763,,
Q302763,Angela Eagle,2015-09-13,2016-06-27,Q267648,Q272234,,
Q272234,Jon Trickett,2016-07-05,2016-10-06,Q302763,Q20127903,,
Q20127903,Clive Lewis (politician),2016-10-06,2017-02-08,Q272234,Q19979355,,
Q19979355,Rebecca Long-Bailey,2017-02-09,2020-04-06,Q20127903,Q216594,,
Q216594,Ed Miliband,2020-04-06,,Q19979355,,,
